id,property_id,rating_count,city
"3989","729736","37","Kochi"
"3990","729737","399","Khajuraho"
"3991","729771","16","Hyderabad"
"3992","729777","28","Dharamshala"
"3993","729818","5","Kharagpur"
"3994","729839","2","Katra"
"3995","729843","20","Digha"
"3996","729851","34","Kolkata"
"3997","729870","42","Corbett"
"3998","729875","15","Jaipur"
"3999","729921","17","Kolkata"
"4000","729932","6","Chennai"
"4001","729938","22","Khammam"
"4002","729979","62","Kolkata"
"4003","730076","5","Digha"
"4004","730093","32","Lonavala"
"4005","730098","205","Coorg"
"4006","730110","51","Jaipur"
"4007","730114","21","Corbett"
"4008","730116","16","Lucknow"
"4009","730126","9","Kolkata"
"4010","730130","16","Jaipur"
"4011","730149","117","Chandigarh"
"4012","730151","10","Gandhidham"
"4013","730154","56","Diamond Harbour"
"4014","730171","109","Kausani"
"4015","730290","5","Gangtok"
"4016","730352","29","Kolhapur"
"4017","730355","49","Chitrakoot"
"4018","730453","51","Chennai"
"4019","730470","11","Chennai"
"4020","730471","17","Dharamshala"
"4021","730474","22","Chennai"
"4022","731633","54","Coimbatore"
"4023","731670","54","Goa"
"4024","731697","26","Jaipur"
"4025","731703","110","kolaghat"
"4026","731711","49","Hyderabad"
"4027","731730","76","Jaipur"
"4028","731810","17","Dehradun"
"4029","731811","26","Ghaziabad"
